API,Well_Number,Symbol_Desc,Symbol,Reliab,Location_Source,Lat27,Long27,Lat83,Long83,Wellbore_Status,Last_Permit_Issued,Last_Permit_Operator_Number,Last_Permit_Operator,Last_Permit_Lease_Name,Total_Depth,Surface_Location,Abstract,Survey,Block,Section,Distance1,Direction1,Distance2,Direction2,Proration_Schedule,District,LeaseID,Operator_Number,Operator,Lease_Name,Field,Well_No,Well_Type,On_Schedule,plugDate,plugDepth,plugOperator,plugLeasename
60530125,1,Canceled / Abandoned Location,9,15,Commission`s hardcopy map,29.0233075,-95.0774046,29.02355189,-95.07761027,LOCATION,068614,664153,PHOENIX RESOURCES CO.,STATE TRACT 326-S S.L. 80452,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,28.9771841,-95.0957768,28.97742985,-95.09598351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,28.9864788,-95.0954031,28.98672426,-95.09560972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,28.9665176,-95.110682,28.96676371,-95.11088938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,2,Dry Hole,3,15,Commission`s hardcopy map,28.9823657,-95.0955698,28.98261128,-95.09577646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,3,Dry Hole,3,15,Commission`s hardcopy map,28.9834253,-95.086236,28.98367083,-95.08644229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,29.0014483,-95.1069108,29.00169332,-95.10711774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,28.9796397,-95.0956698,28.97988537,-95.09587648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,2,Dry Hole,3,15,Commission`s hardcopy map,29.0021824,-95.057574,29.00242732,-95.05777903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Permitted Location,2,15,Commission`s hardcopy map,29.0061728,-95.1239649,29.00641773,-95.12417247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Permitted Location,2,15,Commission`s hardcopy map,28.9878988,-95.1077018,28.98814423,-95.10790888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706, ,Dry Hole,3,15,Commission`s hardcopy map,28.9934389,-95.0957773,28.99368414,-95.09598387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
